model,b1,log10c0,p1,E1,E2,log10delta1,log10delta2,pop_frac1,pop_frac2,strategy1,strategy2,batches,steady_state,fullname
1,0.5,0,0.5,1,0.975,0,-1.5,0.500000001,0.499999999,1,1.75866759141531e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_142.mat
1,0.5,0,0.5,1,0.975,0,-1,0.500000001,0.499999999,1,1.76639385765715e-312,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_143.mat
1,0.5,0,0.5,1,0.975,0,-0.5,0.500000001,0.499999999,1,9.68867156030407e-313,1039,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_144.mat
1,0.5,0,0.5,1,0.975,0,0,0.500000001,0.499999999,1,2.17293477200392e-311,1031,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_145.mat
1,0.5,0,0.5,1,1,-2.5,-2.5,0.5,0.5,0.358529238,0.358529238,1000,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_146.mat
1,0.5,0,0.5,1,1,-2.5,-2,0.999999572,4.28E-07,0.358529238,0.353748768,76126,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_147.mat
1,0.5,0,0.5,1,1,-2.5,-1.5,0.5,0.5,1,8.88796585504724e-313,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_148.mat
1,0.5,0,0.5,1,1,-2.5,-1,0.5,0.5,1.72996310408839e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_149.mat
1,0.5,0,0.5,1,0.9,-1.5,-2,0.500000003,0.499999997,3.69961070808866e-312,1,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_15.mat
1,0.5,0,0.5,1,1,-2.5,-0.5,0.5,0.5,1.72996310408839e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_150.mat
1,0.5,0,0.5,1,1,-2.5,0,0.5,0.5,1.72996310408839e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_151.mat
1,0.5,0,0.5,1,1,-2,-2.5,4.28E-07,0.999999572,0.353748768,0.358529238,76126,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_152.mat
1,0.5,0,0.5,1,1,-2,-2,0.5,0.5,0.351840081,0.351840081,1000,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_153.mat
1,0.5,0,0.5,1,1,-2,-1.5,0.5,0.5,1,8.88572121323829e-313,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_154.mat
1,0.5,0,0.5,1,1,-2,-1,0.5,0.5,1.74025167594949e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_155.mat
1,0.5,0,0.5,1,1,-2,-0.5,0.5,0.5,1.74025167594949e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_156.mat
1,0.5,0,0.5,1,1,-2,0,0.5,0.5,1.74025167594949e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_157.mat
1,0.5,0,0.5,1,1,-1.5,-2.5,0.5,0.5,8.88796585504724e-313,1,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_158.mat
1,0.5,0,0.5,1,1,-1.5,-2,0.5,0.5,8.88572121323829e-313,1,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_159.mat
1,0.5,0,0.5,1,0.9,-1.5,-1.5,1,0,0.362025929,0.368431211,723,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_16.mat
1,0.5,0,0.5,1,1,-1.5,-1.5,0.5,0.5,0.681012962,0.681012962,1000,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_160.mat
1,0.5,0,0.5,1,1,-1.5,-1,0.5,0.5,1.77645040660727e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_161.mat
